action,description,event_type,event_action
accepted_dtm_opt_in,Admin accepted Duo Trust Monitor terms,administrator,keep
accountsapi_request_ip_denied,Accounts API request blocked due to IP restriction,administrator,keep
activation_begin,New admin begins setup using activation link,administrator,keep
activation_complete,New admin completes account setup,administrator,keep
activation_create_link,New admin activation link created,administrator,keep
activation_delete_link,Admin activation link deleted,administrator,keep
activation_send_email,Emailed activation link to admin,administrator,keep
activation_set_password,New admin sets login password during initial setup,administrator,keep
ad_connection_config_download,Admin downloaded authproxy.cfg file for an Active Directory sync connection,administrator,keep
ad_sync_begin,Active Directory Sync started,administrator,keep
ad_sync_by_user_begin,Active Directory Sync of individual user started,administrator,keep
ad_sync_by_user_finish,Active Directory Sync of individual user completed,administrator,keep
ad_sync_config_download,Active Directory Sync configuration download,administrator,keep
ad_sync_failed,Active Directory Sync failed,administrator,keep
ad_sync_finish,Active Directory Sync completed,administrator,keep
admin_2fa_error,Administrator issue completing secondary authentication,administrator,keep
admin_account_switch,Administrator switched to this account from another Duo account,administrator,keep
admin_activate_duo_push,Administrator activates an admin's 2FA device for Duo Push,administrator,keep
admin_activation_create,An admin activation link was created,administrator,keep
admin_activation_delete,An admin activation link was deleted,administrator,keep
admin_create,Added administrator,administrator,keep
admin_delete,Deleted administrator,administrator,keep
admin_lockout,Administrator locked out after too many failed login attempts,administrator,keep
admin_login_error,Administrator issue completing primary password or SAML authentication,administrator,keep
admin_login,Administrator logged in,administrator,keep
admin_purchase_hardtokens,Administrator purchased hardtokens,administrator,keep
admin_reactivates_duo_push,Administrator reactivates an admin's 2FA device for Duo Push,administrator,keep
admin_reset_password,Administrator changed password via emailed reset link,administrator,keep
admin_restore,Administrator controlled by an admin directory sync is restored from pending deletion,administrator,keep
admin_scso_enforcement_change,Updated Cisco Security Cloud Sign On (SCSO) enforcement status,administrator,keep
admin_self_activate,Administrator self-activated through an activation link,administrator,keep
admin_send_reset_password_email,Password reset email sent to administrator,administrator,keep
admin_single_sign_on_cert_create,Generated a new certificate for admin SSO,administrator,keep
admin_single_sign_on_cert_delete,Deleted a certificate for admin SSO,administrator,keep
admin_single_sign_on_cert_update,Modified a certificate for admin SSO,administrator,keep
admin_single_sign_on_update,Modified admin SSO configuration,administrator,keep
admin_sync_create,Created an admin directory sync,administrator,keep
admin_sync_delete,Deleted an admin directory sync,administrator,keep
admin_sync_pause,Paused an admin directory sync,administrator,keep
admin_sync_resume,Resumed an admin directory sync,administrator,keep
admin_sync_update,Updated an admin directory sync,administrator,keep
admin_unexpire,Expired administrator's inactivity was cleared,administrator,keep
admin_update,Modified administrator,administrator,keep
admin_view_password_reset_url,"Viewed the ""Forgot Password"" URL",administrator,keep
adminapi_request_ip_denied,Admin API request blocked due to IP restriction,administrator,keep
administrative_unit_create,Added an administrative unit,administrator,keep
administrative_unit_delete,Deleted an administrative unit,administrator,keep
administrative_unit_update,Updated an administrative unit,administrator,keep
authproxy_hide,An Authentication Proxy was hidden on the Authentication Proxy Dashboard,administrator,keep
authproxy_show,An Authentication Proxy was unhidden and shown on the Authentication Proxy Dashboard,administrator,keep
authproxy_update,An Authentication Proxy's name and/or description was updated on the Authentication Proxy Dashboard,administrator,keep
blacklist_trusted_endpoint,Endpoint added to deny list,administrator,keep
branding_draft_delete,Deleted draft custom branding,administrator,keep
branding_draft_update,Updated draft custom branding,administrator,keep
branding_draft_users_update,Updated test users for draft custom branding,administrator,keep
branding_update,Updated custom branding,administrator,keep
bypass_create,Bypass code created for a user,administrator,keep
bypass_delete,Bypass code deleted,administrator,keep
bypass_view,Viewed a user's bypass code,administrator,keep
cloudsso_add_authproxy,Added an Authentication Proxy for Single Sign-On,administrator,keep
cloudsso_add_bridge_attribute,Added a bridge attribute for Single Sign-On,administrator,keep
cloudsso_add_email_domain,Added a Single Sign-On email domain,administrator,keep
cloudsso_add_ldap_authsource,Added Active Directory authentication source for Single Sign-On,administrator,keep
cloudsso_add_saml_authsource,Added SAML authentication source for Single Sign-On,administrator,keep
cloudsso_create_launcher,Created Duo Central,administrator,keep
cloudsso_create_tiles,Added Duo Central tile(s),administrator,keep
cloudsso_delete_authproxy,Deleted an Authentication Proxy for Single Sign-On,administrator,keep
cloudsso_delete_bridge_attribute,Deleted a bridge attribute for Single Sign-On,administrator,keep
cloudsso_email_domain,Deleted a Single Sign-On email domain,administrator,keep
cloudsso_delete_ldap_authsource,Deleted Active Directory authentication source for Single Sign-On,administrator,keep
cloudsso_delete_saml_authsource,Deleted SAML authentication source for Single Sign-On,administrator,keep
cloudsso_delete_tile,Deleted Duo Central tile,administrator,keep
cloudsso_disable_authsource,Disabled authentication source for Single Sign-On,administrator,keep
cloudsso_enable_authsource,Enabled authentication source for Single Sign-On,administrator,keep
cloudsso_enable_single_sign_on,Enabled Single Sign-On,administrator,keep
cloudsso_modify_tile,Modified Duo Central tile,administrator,keep
cloudsso_oauth_cc_get_client_secret,Viewed OAuth 2.0 client credentials client secret,administrator,keep
cloudsso_oauth_cc_reset_client_secret,Reset OAuth 2.0 client credentials client secret,administrator,keep
cloudsso_oidc_get_client_secret,Viewed OIDC relying party client secret,administrator,keep
cloudsso_oidc_reset_client_secret,Reset OIDC relying party client secret,administrator,keep
cloudsso_update_bridge_attribute,Updated a bridge attribute for Single Sign-On,administrator,keep
cloudsso_update_launcher,Updated Duo Central,administrator,keep
cloudsso_update_ldap_authsource,Updated Single Sign-On Active Directory configuration,administrator,keep
cloudsso_update_oauth_client_credentials,Updated a generic OAuth 2.0 SSO integration,administrator,keep
cloudsso_update_relying_party,Updated a generic OIDC SSO integration,administrator,keep
cloudsso_update_saml_authsource,Updated Single Sign-On SAML configuration,administrator,keep
cloudsso_update_service_provider,"Updated ""Service Provider"" information for an SSO integration",administrator,keep
cloudsso_verify_email_domain,Verified a Single Sign-On email domain,administrator,keep
create_child_customer,Created child customer,administrator,keep
credits_update,Added telephony credits,administrator,keep
custom_messaging_update,Updated custom help desk message in the global settings,administrator,keep
customer_update,Modified settings,administrator,keep
